id,id_prerequis,decision_prerequis,emetteur,demande,bouton_accepte,bouton_refus,impact_accept_pop,impact_accept_gouv,impact_accept_lobby,impact_refus_pop,impact_refus_gouv,impact_refus_lobby,probabilite,impact_accepte_texte,impact_refus_texte
20,19,1,Ministry of the Environment,Ban the production of fans and air conditioners,Yes,No,-30,-10,-10,-10,-10,-10,50,Citizens are forced to adapt; though the ministry loses credibility over its decisions.,The public finds it ridiculous and questions the management of essential goods.
21,16,1,Old Lady,It's to hot for me; my doctor gives me 2 weeks to live,Offer collector plain socks,Leave her unsupported,-10,10,10,30,0,0,50,She doesn't seem to realize how lucky she is.,She seems really sad. Like really sad.
22,,,Concerned Parents Group,Request statistics on children's candy consumption,Yes,No,20,10,-20,-10,0,10,50,The public welcomes this transparency; though the government sees it as a low priority.,Parents grow suspicious and band together; increasing demand for information about children.
23,,,Minister of Right-Mindedness,Announcing that the Leader eats only “patriotic bread”,Yes,No,10,20,0,-20,-20,0,50,The population is intrigued; and bakers see their sales increase despite the criticism.,The public mocks this eccentricity; calling the regime absurd.
24,18,1,Guy,I still need money. My dog died today and I want to give him the best possible funeral. Can you give me the winning lottery ticket ?,Give,No way,30,0,0,-30,-30,-10,20,Guy thanks you,A generous fund has been set up by the public to protest the government's inhumanity in the face of the dog's death.
25,18,0,Guy,I still need money. My dog died today and I want to give him the best possible funeral. Can you give me the winning lottery ticket ?,Give,No way,30,0,0,-30,-30,-10,20,Guy thanks you,A generous fund has been set up by the public to protest the government's inhumanity in the face of the dog's death.
26,,,Propaganda Division,Publish report stating that record harvest is due to “encouragement” from the Leader,Yes,No,30,30,10,-20,-20,0,50,Citizens see the Leader as an “agricultural savior;” boosting his popularity.,Farmers complain about a lack of recognition; and some refuse to participate in ceremonies.
27,26,0,Minister of Agriculture,Organize an agricultural festival in the Leader's honor to correct tension with farmers,Yes,No,30,30,10,-20,-20,0,50,Farmers regain confidence; though the public sees it as a waste of resources.,Farmers express their discontent; leading to shortages in some areas.
28,,,Propaganda Division,Announce that the leader has invented a “new meditation technique”,Yes,No,20,10,0,-10,-20,0,50,The people are impressed by this supposed wisdom; despite a few amused smiles.,The public openly mocks this announcement; which strongly irritates the ministry.
29,,,Propaganda Division,Publish study claiming that the Leader “possesses an innate superior intellect”,Yes,No,-10,20,10,10,-20,-10,50,The public; though skeptical; is forced to acknowledge this myth to avoid repercussions.,The council sees this as an insult; leading to a smear campaign against dissenters.
30,,,Propaganda Division,Require all school textbooks to mention the Leader's date of birth,Yes,No,-10,10,0,10,-20,-10,50,Textbooks are modified; but teachers notice the absurdity of this constant glorification.,The ministry threatens reluctant teachers; creating tensions in the educational sector.
31,,,Propaganda Division,Demand the broadcasting of a documentary affirming that the leader runs faster than any athlete.,Yes,No,-10,10,0,-20,-20,-10,50,Sports propaganda temporarily increases enthusiasm; but the people are doubtful.,Athletes openly express frustration; and some refuse to participate in official competitions.
32,,,WASP AI Director,Provide the security code for the nuclear power plant to test system resilience,Yes,No,0,10,20,20,-10,-20,50,WASP AI assesses the systems; enhancing security and avoiding incidents.,WASP AI threatens to publish a report on poor nuclear safety transparency.
33,32,1,WASP AI Director,Request additional testing by WASP AI on the nuclear plant based on prior findings.,Yes,No,20,-10,20,-20,-10,-20,50,Testing reveals security gaps; reassuring the public about enhanced safety efforts.,Committee complains about gaps remaining unaddressed; sparking public fears over nuclear safety.
34,,,HappyLife CEO,Access to the government’s citizens database for the CHIPS brain implant project,Yes,No,-20,20,30,20,-20,-30,50,HappyLife begins implants; increasing interest in innovations despite some public hesitance.,HappyLife issues statements accusing the government of holding back technological progress.
35,34,0,HappyLife CEO,Seek indirect access to citizen data by partnering with the health ministry’s outreach program.,Yes,No,10,20,10,-20,-10,-10,50,Partnership boosts HappyLife’s CHIPS project with wider acceptance.,HappyLife retaliates; launching an anti-government campaign to sway public opinion.
36,35,1,HappyLife Health Division,Submit research request for CHIPS clinical trials to increase “voluntary” participation rates.,Yes,No,-20,10,20,10,-10,-20,50,Trials proceed smoothly; increasing interest; but privacy activists denounce health data sharing.,Participation lags; creating delays and prompting HappyLife to criticize government obstruction.
37,36,1,Young worker,I've been worried since I got the CHIPS implant and I've been having blackouts.,Make a report and communicate it to the public,Eliminate witness,0,0,-200,0,10,20,50,HappyLife assign you to the court.,All records of his existence have been deleted
38,,,New University Representative,Obtain a copy of the contract with OmniCorp and the plans for the future university,Yes,No,10,10,-20,-20,-10,20,50,Construction progresses; but questions are raised about contract transparency.,The university suspects government obstruction; creating tension.
39,38,1,OmniCorp Construction,Ask to expand contract to add additional facilities; citing future university needs.,Yes,No,-20,10,20,10,-10,-20,50,Expansion boosts OmniCorp’s influence; but raises costs; attracting criticism for overspending.,OmniCorp criticizes lack of support; slowing university project progress; frustrating students.
40,24,1,Guy,I still need money. My wife died today and I want to give him the best possible funeral. Can you give me the winning lottery ticket ?,Give,No way,50,0,0,-50,-30,-10,20,Guy thanks you,A generous fund has been set up by the public to protest the government's inhumanity in the face of the Guy's wife death.
41,24,0,Guy,I still need money. My wife died today and I want to give him the best possible funeral. Can you give me the winning lottery ticket ?,Give,No way,50,0,0,-50,-30,-10,20,Guy thanks you,A generous fund has been set up by the public to protest the government's inhumanity in the face of the Guy's wife death.
42,,,BioTech Hexarès Laboratory,Access to the Psaouludine drug formula to adapt it,Yes,No,-30,-10,20,10,-20,-20,50,Pharmaceutical lobby increases support; though doctors criticize the rapid distribution.,Hexarès accuses the government of favoring unequal competition; creating tensions.
43,42,1,BioTech Hexarès Laboratory,Request expedited approval to start clinical trials on the adapted Psaouludine formula.,Yes,No,-20,20,20,20,-20,-10,50,Clinical trials start; satisfying lobbyists; though citizens worry about safety shortcuts.,Hexarès threatens to relocate research efforts abroad; causing economic and scientific setbacks.
44,43,0,BioTech Hexarès Laboratory,Request cooperation with a public health agency to continue trials abroad with government endorsement.,Yes,No,-10,20,20,10,-10,-10,50,Trials resume internationally; pleasing Hexarès; though critics accuse government of “exporting risks.”,Hexarès ends the trials; risking public perception of lost medical innovation.
45,43,1,Independant scientist,I discovered a Psaouludine variant possibly created by BioTech.,Confront bioTech,Eliminate witness,0,-10,-20,0,10,20,50,The corporation putts enormous pressure on the government; and no investigation will begin.,Thank you for your cooperation. We'll take care of removing all traces.
46,,,OmniCorp Construction,Obtain the year’s trade agreements for a confidential project,Yes,No,-20,-10,20,0,0,-20,50,Trade agreements are obtained; strengthening collaboration; though confidentiality is questioned.,The Committee accuses the government of withholding information; threatening negotiations.
47,46,0,OmniCorp Construction,Request access to other trade contracts to prepare counterproposals on current negotiations.,Yes,No,-20,-20,30,0,-10,-30,50,Access leads to a stronger negotiating position; increasing trade efficiency.,Consortium warns of potential withdrawal from trade agreements; risking economic losses.
48,47,1,Independant journalist,Demand investigation into lobbying pressures on recent trade agreements for transparency.,Yes,No,30,0,-20,-30,0,20,50,Investigation gains public approval for transparency; though lobbyists express frustration.,The people expresses mistrust in government; risking future trade efficiency.
49,,,NewEden Space Station Director,Access to the International Space Station’s safety protocols for refueling in emergencies,Give it,No way,-10,10,20,20,-20,0,50,NewEden improves its security; though some criticize the concessions made.,NewEden threatens to withdraw from space agreements; causing international tensions.
50,49,1,Independant journalist,The International Space Station has been hacked and it's gonna to crash ! I know it's new Eden I just need proof !,Give him the proofs,Eliminate witness,0,0,0,0,0,0,30,The corporation putts enormous pressure on the government; and no investigation will begin.,Thank you for your cooperation. We'll take care of removing all traces.
51,49,1,NewEden Space Station Director,I unofficially request heightened security and monitoring of ISS data to prevent incidents.,Yes,No,0,0,20,0,-20,-20,50,We hope no one finds out,NewEden Space Station Director seems glad to have theses documents
52,51,1,Belgium News,The ISS has just crashed into the Belgium power plant. An automatic state meeting is held with no one present; since everyone is dead. To be continued.. or not,Ok,Ok,-10,-10,30,-10,-10,30,100,People are suspicious about this story; but no one care about Belgium,People are suspicious about this story; but no one care about Belgium
53,,,WASP AI Director,Access to government servers to improve the CHIPS project,Yes,No,-30,-10,20,10,-10,-10,50,The project progresses; tech lobbies are pleased; but some citizens feel over-monitored.,WASP criticizes lack of support for progress; threatening to reduce government projects.
54,53,0,WASP AI Director,Request alternative methods for limited data access via third-party analysis; avoiding direct servers.,Yes,No,10,10,10,-10,-10,-20,50,Public perception of privacy protection improves; though effectiveness of WASP AI is limited.,WASP AI insists on full access; threatening to expose government inefficiencies.
55,,,HappyLife CEO,Access to citizens' medical data for CHIPS commercialization,Yes,No,-10,-10,20,10,-20,-20,50,HappyLife increases sales; though medical privacy is compromised; drawing criticism.,HappyLife launches a campaign accusing the government of holding back medical advances.
56,,,HappyLife CEO,Make a secret deal with the Ministry of Welfare to make CHIPS implants mandatory,Yes,No,-30,10,30,-10,-10,-20,50,The Ministry agrees; sparking protests; though HappyLife’s influence increases.,HappyLife threatens to scale down operations; creating an economic impact.
57,56,1,Minister of Welfare,Propose to the public the new CHIPS implant mandate as a “voluntary” safety measure,Yes,No,10,10,20,-10,-10,-10,50,Public compliance grows gradually; though privacy advocates protest.,Welfare Ministry struggles to gain support; and HappyLife pressures government for mandate.
58,,,WASP AI Director,Access to the installation contract of WASP modules for campus control,Yes,No,-20,10,20,20,10,-20,50,The campus is secured; but students protest against excessive surveillance.,The university criticizes lack of cooperation and threatens to reduce projects with the government.
59,58,0,University Council,Request revision of surveillance policies on campus in response to student backlash,Yes,No,20,0,-10,-20,-20,-20,50,Policy adjustments calm protests; improving public perception.,Students intensify protests; claiming government suppression; and media coverage spreads.
60,59,1,National Student Union,Demand public oversight of surveillance measures to ensure privacy on university campuses,Yes,No,20,0,-10,-20,-20,-20,50,Oversight is implemented; pacifying students but prompting debates over academic independence.,Students threaten widespread protests; accusing the government of oppression.
61,,,Head of the Censorship Bureau,Find the June 19 riot report; ensuring part of it is censored before release,Yes,No,-10,10,0,-20,-20,-10,50,Public receives censored information; lowering tension but sparking rumors about transparency.,Advisor suspects the government’s inability to manage sensitive information; risking leaks.
62,61,1,Media Relations Office,Request access to uncensored riot information to prevent rumors and manage media.,Yes,No,20,-20,-10,-20,20,0,50,Media releases detailed information; calming the public but raising concerns about control.,Media doubts government’s transparency; risking negative press and public mistrust.
63,62,1,Public Relations Committee,Release public communication on transparency efforts to alleviate riot-related rumors.,Yes,No,20,-10,-10,-10,10,-10,50,Transparency campaign improves government perception; though some worry about media manipulation.,Committee warns of rising public doubt in transparency; leading to increased scrutiny.
64,,,Agricultural Market Analyst,Provide a confidential analysis of public raclette consumption habits.,Yes,No,-10,20,10,10,-10,-10,50,Analyst releases a strategic plan for supply; boosting agricultural interests; though public trust decreases.,Analysts criticize government for obstructing economic growth; warning of rising prices.
65,,,Security DivisionAnti-Resistance Task Force,Release the investigation report on the Resistants to prepare further crackdowns on gatherings.,Yes,No,-20,20,10,10,-20,-10,50,Security forces intensify controls; boosting government power but drawing criticism for heavy tactics.,Security suspects lack of commitment to safety; intensifying scrutiny on government stability.
66,65,1,Anti-Resistance Task Force,Further surveillance on suspected Resistants; expand report for additional insights.,Yes,No,-20,20,10,20,-20,-10,50,Government expands monitoring; boosting control but sparking public protest over invasive methods.,Task force accuses government of neglect; hinting at potential sabotage or resistance growth.
67,66,0,Task Force Director,Demand full control over anti-Resistance operations for greater efficiency.,Yes,No,-20,30,10,20,-20,-10,50,Director enhances surveillance; but public protests grow over alleged authoritarian measures.,Director accuses government of obstructing security efforts; risking dissent and lack of control.
68,,,Property Management Officer,Inventory all rooms; requests building plans for accuracy.,Yes,No,-10,20,10,20,-10,-10,50,Officer prepares an efficient inventory; but citizens question transparency of surveillance efforts.,Officer warns of disorganization; raising questions about government’s infrastructure.
69,,,Health Compliance Officer,Order for EM478XY2008 employee : take a government-issued pill as part of ongoing collaboration',Yes,No,-20,20,10,20,-10,-10,50,Compliance strengthens government control; though public fears of government overreach increase.,Employee warns others; sparking a public movement against forced health measures.
70,69,1,Health Compliance Officer,Are you happy ?,Yes,Yes,0,20,0,0,20,0,50,Very well; you'll be able to help us longer at the Office.,Very well; you'll be able to help us longer at the Office.
71,70,0,Health Surveillance Agency,Increase surveillance on non-compliant government employees to ensure obedience.,Yes,No,-20,30,10,20,-20,-10,50,Increased monitoring raises tensions but boosts government control narrative.,Health Agency doubts government’s authority; risking internal dissension and lowered loyalty.
72,71,0,Personnel Oversight Division,Conduct public assessment on employee compliance with government health measures.,Yes,No,-10,10,0,20,-20,-20,50,Public sees increased loyalty; though privacy advocates criticize invasive measures.,Division warns of possible personnel dissent; potentially impacting loyalty and productivity.
73,,,Building Security Supervisor,Request code for Room 103; Building C; North Wing; 6th floor; for unidentified purpose.,Yes,No,-10,-10,20,20,-10,-20,50,Supervisor gains access; completing security task; though questions arise about motives.,Supervisor raises concerns about lack of support; suspecting interference.
74,,,Ministry of Energy Representative,Access to information and plans for the capital’s power grid.,Yes,No,-20,20,10,10,-20,0,50,Energy Ministry strengthens infrastructure plans but creates fears of energy control and blackout risks.,Ministry criticizes lack of cooperation; threatening energy inefficiencies in the capital.
75,74,1,Power Supply Lobby,Request for greater influence in energy policies after sharing of power grid plans.,Yes,No,-10,20,20,-20,-30,-20,50,Lobby increases influence over policy; leading to fears of monopolization and privatization.,Lobby withdraws support; risking energy inefficiencies and negative public perception.
76,75,1,Energy Policy Review Board,Conduct a public survey on privatization; citing recent lobby influence on the capital’s power grid,Yes,No,-10,10,20,-20,-20,-10,50,Survey reveals mixed reactions; support for energy independence grows but fears of price hikes persist.,Board warns of public dissatisfaction; potentially sparking political backlash on energy policy.
77,40,1,Guy,I still need money. A lot of people are dying on the street. Can you give me the winning lottery ticket ?,Give,No way,60,0,0,-60,-30,-10,20,Guy thanks you,A generous fund has been set up by the public to protest the government's inhumanity in the face of all the people dying on the street;
78,40,1,Guy,I still need money. A lot of people are dying on the street. Can you give me the winning lottery ticket ?,Give,No way,60,0,0,-60,-30,-10,20,People are not stupid. 3 times in a month Guy won at the lottery. People's trust has fallen,A generous fund has been set up by the public to protest the government's inhumanity in the face of all the people dying on the street;
79,,,Food department,Do you like hot chocolate or coffee ?,Hot chocolate,Coffee,30,30,30,-30,-30,-30,50,Everyone in our country prefers chocolate,Everyone in our country prefers chocolate
80,,,Health department,Do you agree to remove all the lifts for people ?,Health first,No,-30,30,0,10,0,0,50,Health is the key,Fun fact: Because of the 80-hour work weeks; people only use the elevator a maximum of twice a day. It is actually great for their health!
81,80,1,Old Lady,I lost 30 min each time I acces my flat ...,Relocate to her place of work,Leave her unsupported,10,20,20,-30,0,0,50,Now she can spend more time at work.,She seems really sad. It's looks like the end
82,80,1,Fact news,Due to the new law that removes lifts for everyone. Impaired people are contesting in the street. In anycase they can't go anywhere else..,Ok,Sorry,-30,10,0,-30,-30,-30,100,This is an important public health measure.,You're job isn't to give youre opinion.
83,,,Food department,Force everyone to eat patriotic cereals every morning,Yes,No,-10,20,-20,10,-20,10,50,We're glad to have supplanted the milk and cereals lobby.,You don't know what our beautiful people are missing.
84,78,1,A revolutionary,The Old Lady you didn't care about; she died because of you ! People are united and considere her as the Great Martyre f the Nation.,…,…,200,-200,-200,200,-200,-200,50,The people are fighting to regain power and depose the government and all corporations.,The people are fighting to regain power and depose the government and all corporations.
84,78,0,A revolutionary,The Old Lady you didn't care about; she died because of you ! People are united and considere her as the Great Martyre f the Nation.,…,…,200,-200,-200,200,-200,-200,50,The people are fighting to regain power and depose the government and all corporations.,The people are fighting to regain power and depose the government and all corporations.
